#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
5,16,206.203642
6,15,206.250514
5,16,206.319525
6,15,206.372908
7,14,206.41979
1,20,206.488799
8,13,206.535672
4,17,206.60468
-3,15,206.651551
11,10,206.689333
8,13,206.736205
8,13,206.77396
10,11,206.820841
10,11,206.867712
5,16,206.921099
3,18,206.990108
2,19,207.052604
1,20,207.121631
10,11,207.168499
11,10,207.206261
8,13,207.237509
7,14,207.290895
6,15,207.353391
7,14,207.391159
2,19,207.469275
1,11,207.507041
0,12,207.553914
11,10,207.591682
7,14,207.638554
-1,13,207.691944
10,11,207.723193
3,18,207.792204
4,17,207.854696
11,10,207.892461
11,10,207.923711
8,13,207.970578
10,11,208.008343
10,11,208.055218
10,11,208.092979
10,11,208.124227
1,20,208.208864
4,17,208.255735
9,12,208.309124
3,18,208.378137
6,15,208.425018
8,13,208.4784
11,10,208.509656
7,14,208.556528
6,15,208.609918
14,7,208.641168
-1,13,208.694556
12,9,208.725806
11,10,208.757057
9,12,208.810448
5,16,208.857322
6,15,208.910706
4,17,208.979713
7,14,209.026597
5,16,209.079978
13,8,209.111236
5,16,209.173734
11,10,209.211501
7,14,209.258373
11,10,209.296144
7,14,209.343016
4,17,209.396402
-1,13,209.443274
7,14,209.496661
10,11,209.543531
9,12,209.581287
1,11,209.628165
6,15,209.681549
7,14,209.72995
2,19,209.79746
0,12,209.844332
6,15,209.897722
4,17,209.960217
4,17,210.013607
11,10,210.060483
5,16,210.113872
11,10,210.145121
15,6,210.176369
8,13,210.214135
6,15,210.276631
3,18,210.33002
5,16,210.399032
2,10,210.430278
13,8,210.461526
5,16,210.514917
3,18,210.583919
5,16,210.646427
14,7,210.677674
10,11,210.715446
10,11,210.762317
9,12,210.800088
5,16,210.862587
9,12,210.900354
7,14,210.947227
7,14,211.000614
10,11,211.047486
11,10,211.085245
2,19,211.147748
2,19,211.216763
5,16,211.285769
3,18,211.348271
5,16,211.401659
4,17,211.464154
8,13,211.501921
3,18,211.580041
6,15,211.633432
-4,16,211.686827
-4,16,211.733708
8,13,211.787086
9,12,211.833966
13,8,211.865216
3,18,211.934226
13,8,211.965473
5,16,212.018859
10,11,212.050107
12,9,212.087863
10,11,212.119121
9,12,212.165992
7,14,212.219382
4,17,212.281878
8,13,212.31964
8,13,212.366513
4,17,212.435523
10,11,212.466771
4,17,212.535788
4,17,212.589168
4,17,212.651671
6,15,212.709285
12,9,212.740533
10,11,212.789417
7,14,212.836295
7,14,212.889677
6,15,212.936558
3,18,213.005572
8,13,213.052443
7,14,213.105834
11,10,213.137083
2,10,213.16833
6,15,213.221721
7,14,213.268596
7,14,213.321979
7,14,213.384477
12,9,213.40662
5,16,213.469116
6,15,213.522506
12,9,213.553754
13,8,213.585002
7,14,213.622764
8,13,213.669635
5,16,213.723024
5,16,213.792031
8,13,213.838909
9,12,213.870157
3,18,213.939167
14,7,213.970414
10,11,214.008185
4,17,214.070678
13,8,214.09281
5,16,214.155313
4,17,214.22433
10,11,214.255577
8,13,214.308969
5,16,214.371464
1,20,214.456105
3,18,214.525121
-2,14,214.571991
6,15,214.62538
5,16,214.687876
10,11,214.725639
0,12,214.756886
3,18,214.825898
4,17,214.894909
4,17,214.941786
10,11,214.995169
7,14,215.042049
10,11,215.073296
7,14,215.126686
-6,18,215.195691
14,7,215.211326
4,17,215.273817
2,19,215.342833
3,18,215.411854
-6,27,215.512111
7,14,215.558983
8,13,215.612371
2,19,215.696999
13,8,215.728256
7,14,215.775127
8,13,215.828523
6,15,215.913172
10,11,215.97567
7,14,216.044687
7,14,216.138448
8,13,216.199836
10,11,216.268837
11,10,216.315721
7,14,216.384737
8,13,216.462853
6,15,216.563118
6,15,216.647762
9,12,216.716793
4,17,216.817056
4,17,216.917319
11,10,216.970701
8,13,217.04883
6,15,217.133472
7,14,217.218106
13,8,217.264978
7,14,217.333999
6,15,217.418636
5,16,217.503278
10,11,217.565776
10,11,217.634792
0,12,217.703811
5,16,217.78845
3,18,217.888707
-6,18,217.973336
3,18,218.07361
4,17,218.167366
10,11,218.205132
3,18,218.305396
6,15,218.351837
6,15,218.42086
3,18,218.474258
3,18,218.568012
11,10,218.60578
8,13,218.652653
11,10,218.706041
7,14,218.768537
-5,17,218.837549
9,12,218.890946
4,17,218.95344
9,12,219.006829
6,15,219.069325
5,16,219.122714
11,10,219.1761
7,14,219.238609
6,15,219.292004
2,19,219.3545
6,15,219.407897
7,14,219.470393
4,17,219.523784
4,17,219.577163
3,18,219.655289
7,14,219.708675
6,15,219.755547
-5,17,219.824562
7,14,219.87143
6,15,219.924818
6,15,219.978203
6,15,220.025087
10,11,220.078476
4,17,220.140983
7,14,220.178742
-2,14,220.24125
7,14,220.294636
11,10,220.325884
9,12,220.372755
7,14,220.426145
5,16,220.479522
3,18,220.542027
8,13,220.57978
4,17,220.642284
4,17,220.695673
8,13,220.742543
9,12,220.780305
2,19,220.858438
9,12,220.896203
5,16,220.9587
4,17,221.012085
5,16,221.074582
8,13,221.11235
14,7,221.143594
8,13,221.181354
14,7,221.212609
-7,19,221.281616
9,12,221.328496
-7,19,221.39751
11,10,221.428757
4,17,221.482139
10,11,221.529023
9,12,221.575892
4,17,221.629284
11,10,221.676155
3,18,221.72955
9,12,221.798573
11,10,221.829823
5,16,221.898827
-86,107,222.277726
4,17,222.331114
9,12,222.384494
11,10,222.447
6,15,222.500382
7,14,222.547255
9,12,222.585012
4,17,222.647517
7,14,222.704588
5,16,222.751461
8,13,222.800849
8,13,222.847725
5,16,222.901109
9,12,222.947979
3,18,223.016991
3,18,223.079487
7,14,223.117247
4,17,223.18625
12,9,223.217505
2,19,223.28
8,13,223.317762
7,14,223.380258
10,11,223.418019
5,16,223.464892
11,10,223.502657
1,11,223.549527
14,7,223.56515
6,15,223.618538
10,11,223.665411
11,10,223.703179
5,16,223.765675
8,13,223.819067
8,13,223.865938
13,8,223.888073
-9,12,223.934954
14,7,223.95058
5,16,224.019586
12,9,224.050832
10,11,224.088591
9,12,224.119845
7,14,224.182341
-6,18,224.251351
4,17,224.304739
9,12,224.351615
7,14,224.389365
7,14,224.451868
10,11,224.489628
0,12,224.53651
6,15,224.589896
10,11,224.621153
4,17,224.690159
9,12,224.721414
2,19,224.790422
5,16,224.852926
-8,20,224.921937
7,14,224.968808
5,16,225.022197
10,11,225.053446
7,14,225.106834
11,10,225.138081
10,11,225.191462
8,13,225.222719
14,7,225.253965
10,11,225.29172
8,13,225.338601
8,13,225.385473
10,11,225.423237
7,14,225.47011
8,13,225.523494
13,8,225.539119
7,14,225.592503
11,10,225.639383
6,15,225.692763
3,18,225.755266
9,12,225.793023
4,17,225.855526
5,16,225.908918
8,13,225.955789
7,14,226.009183
8,13,226.056056
3,18,226.109445
12,9,226.140692
1,20,226.210722
4,17,226.273226
10,11,226.309983
7,14,226.372478
6,15,226.425873
6,15,226.488367
11,10,226.510507
5,16,226.573003
9,12,226.610777
15,6,226.642024
12,9,226.673272
7,14,226.726663
-4,16,226.773537
11,10,226.8113
2,19,226.895926
10,11,226.942806
8,13,226.996185
5,16,227.043067
10,11,227.089937
10,11,227.127704
9,12,227.158953
10,11,227.212341
7,14,227.259213
-5,17,227.312599
4,17,227.390721
3,18,227.444112
9,12,227.497492
8,13,227.560001
4,17,227.613388
7,14,227.66026
8,13,227.713656
3,18,227.776148
6,15,227.829537
5,16,227.898545
4,17,227.961048
7,14,228.014435
3,18,228.076931
6,15,228.145951
7,14,228.199326
7,14,228.246205
10,11,228.293082
10,11,228.330847
8,13,228.377719
4,17,228.446733
-4,16,228.515748
6,15,228.562621
3,18,228.631636
4,17,228.69413
10,11,228.731902
5,16,228.800909
11,10,228.832164
7,14,228.879037
12,9,228.916807
5,16,228.979304
9,12,229.017076
10,11,229.063945
6,15,229.11734
9,12,229.164212
11,10,229.201968
6,15,229.248848
3,18,229.333488
7,14,229.380354
5,16,229.449372
8,13,229.502749
10,11,229.549632
10,11,229.580881
8,13,229.634266
-5,17,229.703269
-10,22,229.782021
8,13,229.824753
4,17,229.887247
6,15,229.935135
6,15,229.982007
7,14,230.035395
6,15,230.097897
8,13,230.135664
9,12,230.182534
9,12,230.220304
4,17,230.2828
13,8,230.304932
10,11,230.351812
12,9,230.383059
7,14,230.420822
-6,18,230.483317
9,12,230.53671
7,14,230.583588
4,17,230.636975
5,16,230.705981
7,14,230.752861
11,10,230.784108
10,11,230.821874
6,15,230.868746
9,12,230.922134
13,8,230.937758
9,12,230.98463
5,16,231.038015
9,12,231.084887
9,12,231.122654
